,Kilometers,cars_model,Year,Owner_Type,Insurance_Date,Insurance_Type,RTO,Fuel_Type,Transmission_Type,Price
1410,"49,204 km",2019 Tata Tiago XT 1.2 REVOTRON,March 2010,First Owner,NA,Comp,DL4C,Petrol,MANUAL,"₹ 450,000"
1411,"60,167 km",2014 Ford Ecosport 1.5 AMBIENTE TDCI,March 2013,First Owner,17/11/2020,Comprehensive,DL10,Petrol,MANUAL,"₹ 375,000"
1412,"81,793 km",2009 Maruti Alto LXI,June 2011,First Owner,NA,3rd Party,DL9C,Diesel,NA,"₹ 150,000"
1413,"47,426 km",2013 Toyota Etios GD,October 2015,Second Owner,25/6/2021,Comprehensive,DL3C,Petrol + CNG,MANUAL,"₹ 300,000"
1414,"26,592 km",2014 Maruti Alto K10 LXI,December 2017,First Owner,26/12/2020,Comp,DL12,Petrol,NA,"₹ 207,000"
1415,"9,737 km",2019 Maruti Dzire LXI,January 2017,First Owner,27/1/2021,Zero_Dep,DL12,Petrol,MANUAL,"₹ 525,000"
1416,"16,928 km",2014 Datsun Go T,June 2019,First Owner,22/9/2021,Insurance Expired,HR13,Petrol + CNG,MANUAL,"₹ 180,507"
1417,"47,795 km",2018 Maruti Wagon R 1.0 VXI,August 2014,Second Owner,NA,Comp,DL4C,Petrol,MANUAL,"₹ 420,000"
1418,"44,828 km",2013 Chevrolet Beat LS DIESEL,June 2016,First Owner,23/6/2021,Comprehensive,DL13,Petrol,MANUAL,"₹ 120,000"
1419,"41,377 km",2010 Maruti Wagon R 1.0 VXI,February 2011,First Owner,12/3/2021,Comprehensive,DL7C,Petrol,MANUAL,"₹ 170,000"
1420,"44,325 km",2014 Hyundai Grand i10 SPORTZ 1.1 CRDI,January 2015,Second Owner,25/4/2021,Insurance Expired,HR14,Diesel,MANUAL,"₹ 350,000"
1421,"27,668 km",2011 Hyundai i10 ERA 1.1 IRDE,March 2011,First Owner,NA,Comprehensive,DL3C,Petrol,MANUAL,"₹ 169,000"
1422,"3,270 km",2014 Hyundai i20 ASTA 1.4 CRDI,January 2019,First Owner,19/5/2021,Zero_Dep,HR72,Petrol,MANUAL,"₹ 330,000"
1423,"44,224 km",2013 Hyundai i20 SPORTZ 1.2 VTVT,June 2014,First Owner,9/6/2021,Comprehensive,DL12,Diesel,MANUAL,"₹ 330,000"
1424,"30,815 km",2013 Maruti Alto 800 LXI,April 2009,First Owner,30/6/2021,Comp,DL6C,Petrol,MANUAL,"₹ 215,000"
1425,"82,015 km",2020 Honda Amaze 1.2 V MT I-VTEC,July 2013,First Owner,22/7/2021,Comprehensive,DL10,Diesel,MANUAL,"₹ 830,000"
1426,"50,844 km",2013 Ford Ecosport 1.5 TREND TDCI,April 2014,First Owner,12/5/2021,Zero_Dep,DL8C,Petrol,MANUAL,"₹ 355,000"
1427,"11,973 km",2012 Chevrolet Beat LT DIESEL,April 2019,First Owner,6/4/2021,Expired,DL10,Petrol,MANUAL,"₹ 125,000"
1428,"38,541 km",2011 Maruti Wagon R 1.0 VXI,February 2014,First Owner,NA,3rd Party,BR01,Petrol,MANUAL,"₹ 147,363"
1429,"23,741 km",2015 Maruti Swift Dzire VXI 1.2 BS IV,August 2018,Second Owner,22/10/2021,Comp,DL8C,Petrol + CNG,MANUAL,"₹ 371,842"
1430,"73,543 km",2016 Maruti Wagon R 1.0 VXI,January 2013,First Owner,8/9/2020,Third_party,DL14,Diesel,MANUAL,"₹ 308,750"
1431,"50,996 km",2014 Maruti Swift Dzire LDI BS IV,July 2010,First Owner,30/12/2020,Insurance Expired,DL9C,Petrol,MANUAL,"₹ 340,000"
1432,"25,769 km",2019 Maruti IGNIS ALPHA 1.2 K12 ,July 2014,Second Owner,NA,Comp,DL12,Diesel,MANUAL,"₹ 630,000"
1433,"69,292 km",2012 Mahindra XUV500 W8 FWD,December 2011,Second Owner,21/1/2021,Comprehensive,DL10,Petrol + CNG,MANUAL,"₹ 425,000"
1434,"59,045 km",2016 Hyundai Elite i20 MAGNA 1.2,June 2014,First Owner,16/1/2021,Insurance Expired,DL10,Diesel,MANUAL,"₹ 521,000"
1435,"41,631 km",2016 Maruti Alto K10 VXI ,January 2013,Second Owner,NA,Comp,DL5C,Petrol,MANUAL,"₹ 250,000"
1436,"17,927 km",2012 Hyundai Santro Xing GLS,December 2013,First Owner,2/2/2021,Comprehensive,AS01,Petrol,MANUAL,"₹ 165,436"
1437,"2,942 km",2010 Honda City V MT PETROL,March 2020,First Owner,16/7/2021,Zero Depreciation,DL4C,Petrol,MANUAL,"₹ 330,000"
1438,"41,832 km",2012 Hyundai i20 SPORTZ 1.2 VTVT,January 2013,First Owner,11/6/2021,Insurance Expired,DL3C,Diesel,MANUAL,"₹ 265,000"
1439,"57,306 km",2012 Hyundai i20 SPORTZ 1.2 O,January 2012,Second Owner,NA,Expired,DL12,Diesel,MANUAL,"₹ 237,759"
1440,"63,497 km",2012 Hyundai Santro Xing GL PLUS,January 2011,First Owner,28/3/2021,Expired,DL3C,Petrol,MANUAL,"₹ 155,000"
1441,"43,590 km",2017 Maruti Dzire VDI,June 2015,First Owner,NA,Expired,DL2C,Petrol,MANUAL,"₹ 559,000"
1442,"35,435 km",2015 Hyundai Elite i20 ASTA 1.2,May 2016,First Owner,21/2/2021,Comp,DL1C,Petrol,MANUAL,"₹ 477,000"
1443,"40,602 km",2014 Hyundai Xcent S 1.2,March 2014,First Owner,NA,Zero Depreciation,DL10,Diesel,MANUAL,"₹ 400,000"
1444,964 km,2015 Toyota Etios Liva G,June 2019,First Owner,22/3/2021,Zero Depreciation,DL12,Petrol,MANUAL,"₹ 330,000"
1445,"27,543 km",2013 Honda Brio 1.2 S MT I VTEC,January 2012,First Owner,NA,Comprehensive,DL3C,Diesel,MANUAL,"₹ 232,000"
1446,"24,470 km",2012 Chevrolet Beat LT DIESEL,April 2016,First Owner,9/7/2021,Zero_Dep,CG04,Petrol,NA,"₹ 88,000"
1447,"37,307 km",2012 Maruti Ritz LXI ,January 2016,First Owner,11/1/2021,Zero Depreciation,DL3C,Petrol,MANUAL,"₹ 191,000"
1448,"66,047 km",2017 Maruti Baleno DELTA DDIS 190 ,March 2012,Second Owner,17/4/2021,Comp,DL8C,Petrol,MANUAL,"₹ 435,000"
1449,"48,003 km",2019 Honda Amaze 1.2 V MT I-VTEC,May 2010,First Owner,15/2/2021,Insurance Expired,DL1C,Petrol,MANUAL,"₹ 688,000"
1450,"49,654 km",2020 Honda Amaze 1.2 V MT I-VTEC,June 2012,First Owner,NA,Insurance Expired,DL10,Petrol,MANUAL,"₹ 825,000"
1451,"58,157 km",2009 Hyundai i10 ERA 1.1 IRDE,January 2012,Second Owner,22/11/2020,Third_party,DL2C,Petrol,MANUAL,"₹ 150,000"
1452,"62,200 km",2018 Renault Kwid 1.0 RXT Opt,December 2012,Second Owner,NA,Insurance Expired,DL9C,Petrol + CNG,MANUAL,"₹ 315,000"
1453,"38,037 km",2018 Mahindra Kuv100 K2 D 6 STR,July 2017,First Owner,11/6/2021,Insurance Expired,DL10,Diesel,MANUAL,"₹ 400,000"
1454,"31,427 km",2017 Honda Jazz 1.2 V AT,January 2015,First Owner,NA,Comp,UP14,Petrol,MANUAL,"₹ 600,000"
1455,"22,442 km",2013 Hyundai Santro Xing GL PLUS,May 2014,First Owner,25/1/2021,3rd Party,DL8C,Petrol,MANUAL,"₹ 195,000"
1456,"32,999 km",2018 Honda Amaze 1.2 SMT I VTEC,January 2015,First Owner,NA,Comp,DL10,Petrol,MANUAL,"₹ 653,000"
1457,"53,314 km",2014 Maruti Alto 800 LX,February 2013,Second Owner,26/11/2021,Third_party,DL2C,Petrol,MANUAL,"₹ 171,000"
1458,"75,805 km",2019 Tata Tiago XE 1.2 REVOTRON,October 2012,First Owner,17/9/2021,Insurance Expired,DL8C,Diesel,MANUAL,"₹ 465,000"
1459,"54,376 km",2013 Maruti Wagon R 1.0 VXI,June 2012,Second Owner,NA,Comprehensive,DL8C,Petrol,MANUAL,"₹ 250,000"
1460,"32,708 km",2013 Hyundai Grand i10 ASTA 1.1 CRDI,May 2017,Second Owner,23/10/2022,Expired,DL4C,Diesel,MANUAL,"₹ 280,000"
1461,"6,462 km",2013 Hyundai i10 MAGNA 1.2 KAPPA2,September 2019,First Owner,22/1/2023,Third_party,DL3C,Petrol,MANUAL,"₹ 290,000"
1462,544 km,2016 Hyundai i20 Active 1.2 S,January 2020,First Owner,22/9/2021,3rd Party,HR26,Petrol,MANUAL,"₹ 550,000"
1463,"43,768 km",2016 Maruti Ciaz VXI PLUS AMT,August 2009,First Owner,NA,Comp,UP16,Petrol,NA,"₹ 665,000"
1464,"9,975 km",2019 Renault Kwid RXL,October 2018,First Owner,25/11/2021,Zero Depreciation,DL8C,Petrol,MANUAL,"₹ 355,000"
1465,"12,987 km",2012 Chevrolet Beat LT DIESEL,March 2018,First Owner,12/11/2021,Insurance Expired,DL10,Diesel,AUTOMATIC,"₹ 110,000"
1466,"18,150 km",2012 Skoda Rapid ACTIVE 1.6 TDI MT,August 2017,First Owner,NA,Comp,DL13,Petrol,MANUAL,"₹ 210,000"
1467,"42,149 km",2016 Maruti Wagon R 1.0 LXI CNG,January 2013,First Owner,16/7/2021,Expired,HR29,Petrol,MANUAL,"₹ 250,000"
1468,"8,776 km",2020 Maruti Ertiga ZXI Plus SHVS,July 2018,First Owner,NA,Zero Depreciation,DL12,Petrol,MANUAL,"₹ 925,000"
1469,"58,992 km",2016 Hyundai Elite i20 ERA 1.2,February 2014,Third Owner,5/5/2021,3rd Party,DL7C,Petrol + CNG,NA,"₹ 380,000"
1470,"1,280 km",2012 Chevrolet Beat LS DIESEL,January 2019,First Owner,30/11/2020,Expired,DL10,Petrol,MANUAL,"₹ 100,000"
1471,"35,820 km",2007 Maruti Wagon R LXI MINOR,April 2013,First Owner,NA,Expired,DL2C,Petrol,MANUAL,"₹ 70,000"
1472,"60,148 km",2012 Chevrolet Beat LS DIESEL,November 2013,First Owner,12/1/2021,Comp,DL10,Diesel,MANUAL,"₹ 85,000"
1473,"9,015 km",2011 Volkswagen Polo TRENDLINE 1.2L PETROL,July 2013,First Owner,18/8/2021,Comprehensive,DL9C,Petrol,MANUAL,"₹ 250,000"
1474,"25,091 km",2011 Hyundai i10 SPORTZ 1.2 KAPPA2,November 2016,First Owner,24/11/2021,Expired,DL5C,Petrol,MANUAL,"₹ 160,000"
1475,"15,736 km",2014 Hyundai Grand i10 MAGNA 1.1 CRDI,November 2016,First Owner,1/9/2021,Insurance Expired,DL8C,Petrol,AUTOMATIC,"₹ 260,951"
1476,"5,706 km",2014 Honda City SV CVT PETROL,July 2019,First Owner,NA,Expired,DL9C,Petrol + CNG,MANUAL,"₹ 530,000"
1477,"55,505 km",2011 Ford Figo 1.4 TITANIUM DURATORQ,June 2012,First Owner,8/3/2021,Insurance Expired,DL4C,Diesel,MANUAL,"₹ 135,000"
1478,"72,445 km",2009 Honda Jazz 1.2 BASE I VTEC,January 2012,First Owner,NA,Insurance Expired,DL3C,Diesel,MANUAL,"₹ 200,000"
1479,"74,356 km",2013 Ford Ecosport 1.5TITANIUM TDCI,June 2016,First Owner,24/9/2021,Expired,DL12,Petrol + CNG,MANUAL,"₹ 435,000"
1480,"2,982 km",2010 Hyundai i20 ERA 1.2 ,November 2020,First Owner,NA,Zero_Dep,DL7C,Petrol,MANUAL,"₹ 147,000"
1481,"47,430 km",2019 Honda Amaze 1.2 V MT I-VTEC,November 2016,First Owner,30/7/2021,Expired,DL4C,Petrol,MANUAL,"₹ 652,000"
1482,"56,129 km",2014 Tata Nano XT TWIST,June 2012,First Owner,NA,Insurance Expired,DL12,Diesel,MANUAL,"₹ 68,194"
1483,"54,682 km",2013 Maruti Swift Dzire VXI Regal Limited edition ,November 2007,First Owner,25/2/2021,3rd Party,DL6C,Petrol,MANUAL,"₹ 270,000"
1484,"76,736 km",2017 Mahindra Kuv100 K8 6 STR,February 2012,Second Owner,NA,3rd Party,DL7C,Diesel,MANUAL,"₹ 350,000"
1485,"44,738 km",2014 Honda Amaze 1.5 SMT I DTEC,February 2011,First Owner,7/11/2020,3rd Party,DL1C,Petrol,MANUAL,"₹ 300,000"
1486,"66,679 km",2018 Hyundai Eon ERA PLUS,January 2011,Second Owner,NA,Expired,DL8C,Petrol,MANUAL,"₹ 320,000"
1487,"54,085 km",2012 Maruti Swift Dzire ZDI,June 2014,First Owner,5/10/2021,Comp,DL5C,Diesel,AUTOMATIC,"₹ 313,500"
1488,"52,628 km",2019 Maruti IGNIS DELTA 1.2 K12 ,May 2014,Second Owner,NA,Third_party,DL8C,Petrol,MANUAL,"₹ 460,000"
1489,"61,910 km",2015 Maruti Wagon R 1.0 VXI,October 2011,Second Owner,5/11/2020,Comp,DL2C,Diesel,MANUAL,"₹ 301,000"
1490,"17,718 km",2017 Hyundai Grand i10 SPORTZ O 1.2,June 2009,Third Owner,NA,Comp,DL4C,Petrol,MANUAL,"₹ 425,000"
1491,"37,115 km",2011 Hyundai Verna FLUIDIC 1.6 SX VTVT OPT,October 2013,Second Owner,10/7/2022,Comprehensive,DL3C,Diesel,MANUAL,"₹ 425,000"
1492,"58,219 km",2012 Hyundai Verna FLUIDIC 1.6 EX VTVT,October 2010,Second Owner,23/8/2021,Expired,DL3C,Petrol,MANUAL,"₹ 350,000"
1493,"3,302 km",2008 Tata Safari 4X2 LX DICOR BS III,June 2019,First Owner,NA,3rd Party,DL4C,Petrol,MANUAL,"₹ 134,500"
1494,"51,170 km",2012 Chevrolet Beat LS DIESEL,January 2014,First Owner,9/6/2021,Comprehensive,DL13,Petrol,MANUAL,"₹ 100,000"
1495,"60,904 km",2018 Maruti Wagon R 1.0 LXI,May 2013,First Owner,NA,Expired,DL14,Petrol,MANUAL,"₹ 355,000"
1496,"41,032 km",2011 Maruti Swift ZXI,September 2017,First Owner,22/10/2021,Insurance Expired,HR26,Petrol,MANUAL,"₹ 226,617"
1497,"45,447 km",2015 Ford Ecosport 1.5 TITANIUM TI VCT,January 2014,First Owner,NA,Insurance Expired,DL3C,Diesel,MANUAL,"₹ 600,000"
1498,"14,196 km",2014 Maruti Ciaz VXI PLUS,January 2018,Second Owner,10/9/2022,Zero_Dep,DL9C,Petrol,MANUAL,"₹ 480,000"
1499,"53,497 km",2015 Renault Duster RXL PETROL 104,October 2012,First Owner,NA,Comp,DL8C,Diesel,MANUAL,"₹ 430,000"
1500,"12,846 km",2016 Renault Kwid RXT 1.0 EASY-R  AT,January 2019,First Owner,31/1/2021,Zero Depreciation,DL1C,Petrol,MANUAL,"₹ 225,000"
1501,"45,018 km",2019 Maruti Baleno ZETA 1.2 K12 ,January 2015,First Owner,NA,Insurance Expired,UP14,Petrol,MANUAL,"₹ 720,000"
1502,"33,678 km",2012 Toyota Etios GD,January 2017,First Owner,8/10/2021,Zero Depreciation,DL12,Petrol,MANUAL,"₹ 240,000"
1503,"58,040 km",2015 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,June 2011,First Owner,NA,Insurance Expired,DL2C,Petrol,MANUAL,"₹ 219,000"
1504,"48,016 km",2012 Maruti Ritz LDI ,February 2012,Second Owner,5/11/2020,Comprehensive,DL8C,Petrol,MANUAL,"₹ 230,000"
1505,"28,838 km",2017 Hyundai Grand i10 Sportz(O) 1.2 MT,August 2008,First Owner,NA,Insurance Expired,DL8C,Diesel,MANUAL,"₹ 425,000"
1506,"34,008 km",2011 Hyundai i10 MAGNA 1.2 KAPPA2,January 2012,Second Owner,2/4/2021,Expired,DL3C,Diesel,MANUAL,"₹ 154,000"
1507,"30,260 km",2012 Volkswagen Polo HIGHLINE1.2L DIESEL,May 2018,Second Owner,NA,Zero Depreciation,HR26,Petrol + CNG,MANUAL,"₹ 243,000"
1508,"59,839 km",2010 Hyundai i20 MAGNA O 1.2,March 2011,Second Owner,8/1/2021,Third_party,DL2C,Petrol,NA,"₹ 200,000"
1509,"10,854 km",2016 Tata Indigo ECS GLS,September 2015,First Owner,NA,Zero_Dep,DL3C,Petrol,MANUAL,"₹ 180,000"
1510,"46,073 km",2014 Volkswagen Polo HIGHLINE1.2L PETROL,November 2014,First Owner,22/11/2020,Third_party,DL10,Petrol,NA,"₹ 366,000"
1511,"48,118 km",2017 Maruti Eeco 5 STR WITH AC PLUSHTR,July 2015,First Owner,9/1/2021,Third_party,DL8C,Petrol,MANUAL,"₹ 291,000"
1512,"43,069 km",2016 Maruti Celerio VXI ,November 2016,First Owner,22/2/2021,Expired,DL3C,Petrol,MANUAL,"₹ 365,000"
1513,"8,790 km",2012 Volkswagen Polo COMFORTLINE 1.2L DIESEL,June 2019,First Owner,NA,Insurance Expired,DL1C,Petrol,MANUAL,"₹ 160,000"
1514,"60,359 km",2015 Honda Amaze 1.5 SMT I DTEC,October 2012,Second Owner,19/12/2020,Expired,DL4C,Diesel,MANUAL,"₹ 400,000"
1515,"45,384 km",2014 Hyundai i10 MAGNA 1.1 IRDE2,June 2015,Second Owner,NA,Comp,DL10,Petrol + CNG,MANUAL,"₹ 271,000"
1516,"48,560 km",2017 Hyundai Grand i10 SPORTS 1.2 VTVT,September 2012,First Owner,18/11/2020,Comp,UP70,Diesel,MANUAL,"₹ 455,000"
1517,"15,977 km",2014 Tata Zest XE QUADRAJET 75PS,October 2017,First Owner,NA,Expired,DL11,Petrol + CNG,MANUAL,"₹ 160,000"
1518,"41,967 km",2014 Maruti Swift VXI,October 2011,Second Owner,17/6/2021,Insurance Expired,DL9C,Petrol,MANUAL,"₹ 325,000"
1519,"63,749 km",2010 Honda City S MT PETROL,October 2012,First Owner,NA,Third_party,DL7C,Diesel,MANUAL,"₹ 215,000"
1520,"65,358 km",2010 Hyundai i20 SPORTZ 1.2 O,August 2010,First Owner,21/10/2020,Insurance Expired,DL2C,Petrol,MANUAL,"₹ 225,000"
1521,"28,654 km",2018 Tata TIGOR XM 1.2 REVOTRON,July 2016,First Owner,NA,3rd Party,DL8C,Petrol + CNG,MANUAL,"₹ 423,000"
1522,"55,909 km",2014 Mahindra XUV500 W6 4X2,December 2014,First Owner,29/1/2021,Expired,DL8C,Petrol,MANUAL,"₹ 520,000"
1523,"25,505 km",2015 Maruti Swift Dzire ZXI 1.2 BS IV,August 2017,First Owner,NA,Comprehensive,DL9C,Petrol + CNG,MANUAL,"₹ 420,000"
1524,"12,856 km",2017 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,January 2016,First Owner,30/11/2020,Zero_Dep,DL2C,Petrol,NA,"₹ 282,000"
1525,"67,128 km",2012 Mahindra XUV500 W8 FWD,July 2012,First Owner,NA,Expired,DL4C,Diesel,MANUAL,"₹ 430,000"
1526,"13,508 km",2011 Volkswagen Polo TRENDLINE 1.2L DIESEL,January 2015,First Owner,26/6/2021,Comp,DL7C,Diesel,NA,"₹ 125,000"
1527,"15,468 km",2012 Maruti Swift Dzire TOUR,February 2014,First Owner,18/3/2021,Zero_Dep,DL3C,Petrol,MANUAL,"₹ 200,000"
1528,"36,902 km",2013 Maruti Swift VXI,November 2017,First Owner,18/6/2021,3rd Party,DL1C,Petrol,NA,"₹ 300,000"
1529,"41,440 km",2017 Datsun Go ANNIVERSARY EDITION,August 2014,Second Owner,22/1/2021,Insurance Expired,DL8C,Diesel,MANUAL,"₹ 260,000"
1530,"53,236 km",2018 Maruti Celerio X Zxi,August 2014,Second Owner,NA,Comp,DL3C,Petrol,MANUAL,"₹ 425,000"
1531,"48,114 km",2013 Hyundai Santro Xing GL PLUS,September 2010,Third Owner,19/12/2020,Third_party,DL2C,Petrol,MANUAL,"₹ 190,000"
1532,"32,435 km",2013 Maruti Ertiga LDI,December 2010,First Owner,21/1/2021,Comp,HR51,Petrol,MANUAL,"₹ 300,000"
1533,"12,381 km",2018 Honda Amaze 1.2 V MT I-VTEC,January 2018,First Owner,16/5/2021,Insurance Expired,DL11,Petrol,MANUAL,"₹ 633,000"
1534,"57,048 km",2015 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,February 2014,First Owner,NA,Expired,DL8C,Diesel,MANUAL,"₹ 352,000"
1535,"54,991 km",2012 Toyota Etios GD SP,May 2015,First Owner,7/4/2021,Comp,DL10,Petrol,MANUAL,"₹ 271,314"
1536,"21,266 km",2010 Hyundai i20 MAGNA O 1.2,July 2017,First Owner,NA,Insurance Expired,DL3C,Petrol + CNG,MANUAL,"₹ 172,148"
1537,"54,978 km",2010 Maruti Zen Estilo LXI,October 2012,Second Owner,19/9/2021,Comp,DL9C,Diesel,MANUAL,"₹ 151,000"
1538,"70,014 km",2012 Maruti Wagon R 1.0 LXI CNG,July 2011,Third Owner,NA,Insurance Expired,DL3C,Diesel,MANUAL,"₹ 170,000"
1539,"63,182 km",2013 Maruti Swift Dzire VXI 1.2 BS IV,August 2012,First Owner,12/7/2021,Comp,DL8C,Diesel,MANUAL,"₹ 290,000"
1540,"46,804 km",2011 Mahindra XUV500 W8 FWD,July 2013,First Owner,NA,Comp,DL4C,Petrol,MANUAL,"₹ 351,000"
1541,"17,066 km",2012 Mahindra XUV500 W8 FWD,October 2017,First Owner,29/12/2020,Comp,DL14,Petrol,MANUAL,"₹ 397,900"
1542,"18,418 km",2013 Honda Amaze 1.5 SMT I DTEC,June 2018,First Owner,12/7/2021,Zero_Dep,UP15,Petrol,NA,"₹ 235,000"
1543,"58,404 km",2017 Maruti Dzire VXI,December 2013,Second Owner,20/2/2021,Comp,DL3C,Petrol,MANUAL,"₹ 525,000"
1544,"60,236 km",2016 Hyundai Elite i20 MAGNA 1.2,April 2013,First Owner,13/11/2021,Insurance Expired,DL8C,Diesel,MANUAL,"₹ 480,000"
1545,"18,177 km",2013 Maruti Swift VXI,October 2018,First Owner,20/3/2021,3rd Party,DL8C,Petrol,MANUAL,"₹ 354,136"
1546,"18,554 km",2018 Maruti Dzire VXI,February 2015,First Owner,NA,Zero Depreciation,DL4C,Petrol,MANUAL,"₹ 580,000"
1547,"62,492 km",2012 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,March 2012,First Owner,8/2/2021,3rd Party,DL1C,Diesel,NA,"₹ 135,000"
1548,"62,771 km",2014 Hyundai Grand i10 MAGNA 1.2 VTVT,October 2010,First Owner,12/8/2021,Insurance Expired,DL1C,Petrol,MANUAL,"₹ 400,000"
1549,"54,645 km",2012 Honda City S MT PETROL,June 2010,First Owner,NA,Comprehensive,DL13,Petrol,MANUAL,"₹ 400,000"
1550,"62,092 km",2012 Maruti Swift Dzire VXI 1.2 BS IV,February 2012,Third Owner,19/12/2021,Comp,DL9C,Petrol + CNG,MANUAL,"₹ 332,000"
1551,"20,100 km",2010 Hyundai i10 MAGNA 1.2,November 2013,First Owner,25/11/2028,Comp,DL10,Petrol,MANUAL,"₹ 140,000"
1552,"62,986 km",2015 Maruti Wagon R 1.0 LXI CNG,October 2011,Second Owner,6/8/2021,3rd Party,HR51,Diesel,MANUAL,"₹ 240,000"
1553,"59,638 km",2013 Volkswagen Polo COMFORTLINE 1.2L PETROL,April 2012,First Owner,13/9/2021,Expired,DL10,Diesel,MANUAL,"₹ 320,000"
1554,"45,601 km",2017 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,January 2013,First Owner,NA,Zero Depreciation,DL6C,Diesel,MANUAL,"₹ 295,000"
1555,"33,605 km",2016 Maruti Baleno DELTA 1.2 K12 AMT ,January 2017,First Owner,14/12/2021,Insurance Expired,HP97,Petrol,MANUAL,"₹ 475,337"
1556,"31,019 km",2012 Mahindra Quanto C2,August 2016,First Owner,NA,Comprehensive,DL12,Petrol,MANUAL,"₹ 155,000"
1557,"44,446 km",2016 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,February 2013,First Owner,23/2/2021,Comp,DL8C,Petrol,MANUAL,"₹ 365,000"
1558,"19,432 km",2016 Hyundai i20 Active 1.2 SX,December 2018,First Owner,28/12/2021,3rd Party,DL12,Petrol,MANUAL,"₹ 525,000"
1559,"58,072 km",2011 Nissan Sunny XV PETROL,October 2012,Second Owner,5/1/2021,Insurance Expired,DL12,Petrol + CNG,MANUAL,"₹ 293,000"
1560,"22,560 km",2011 Chevrolet Beat LT DIESEL,November 2014,First Owner,NA,Comprehensive,DL10,Petrol,MANUAL,"₹ 103,000"
1561,"33,588 km",2019 Hyundai NEW SANTRO SPORTZ 1.1,October 2012,Second Owner,30/12/2020,Comp,DL7C,Petrol,MANUAL,"₹ 460,000"
1562,"54,936 km",2015 Maruti S Cross ALPHA 1.3,December 2012,First Owner,21/12/2020,Comp,DL9C,Petrol,MANUAL,"₹ 600,000"
1563,"47,423 km",2014 Hyundai i10 MAGNA 1.1 IRDE2,October 2010,Second Owner,22/4/2021,Insurance Expired,DL10,Petrol,MANUAL,"₹ 229,000"
1564,"52,175 km",2013 Hyundai Verna FLUIDIC 1.6 SX VTVT,June 2015,Second Owner,NA,Insurance Expired,DL10,Petrol + CNG,MANUAL,"₹ 450,000"
1565,"55,491 km",2014 Mahindra Quanto C6,February 2013,Second Owner,28/1/2021,Comprehensive,DL10,Petrol,MANUAL,"₹ 215,000"
1566,"32,628 km",2018 Maruti Baleno DELTA 1.2 K12 ,January 2017,First Owner,NA,Zero Depreciation,DL14,Petrol + CNG,MANUAL,"₹ 525,000"
1567,"31,502 km",2016 Hyundai Eon ERA PLUS,September 2016,First Owner,11/12/2020,Expired,DL10,Petrol,AUTOMATIC,"₹ 251,000"
1568,"69,048 km",2012 Mahindra XUV500 W8 FWD,October 2012,Second Owner,NA,Comprehensive,DL12,Diesel,MANUAL,"₹ 452,153"
1569,"46,731 km",2014 Hyundai Eon ERA PLUS,July 2016,First Owner,24/8/2021,3rd Party,RJ18,Petrol,MANUAL,"₹ 215,000"
1570,"28,098 km",2016 Maruti Swift Dzire VXI 1.2 BS IV,February 2016,First Owner,22/10/2020,Insurance Expired,DL2C,Petrol,MANUAL,"₹ 450,000"
1571,"12,875 km",2016 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,January 2011,First Owner,NA,Comp,DL3C,Petrol,MANUAL,"₹ 238,514"
1572,"75,477 km",2010 Hyundai i20 MAGNA O 1.2,November 2011,First Owner,16/11/2020,Comprehensive,DL3C,Diesel,MANUAL,"₹ 205,000"
1573,"18,774 km",2012 Volkswagen Polo COMFORTLINE 1.2L DIESEL,December 2019,First Owner,9/2/2021,Zero Depreciation,DL7C,Petrol,MANUAL,"₹ 260,000"
1574,"32,928 km",2012 Chevrolet Beat PS PETROL,August 2015,First Owner,27/8/2021,Insurance Expired,DL9C,Diesel,MANUAL,"₹ 160,000"
1575,"49,365 km",2011 Hyundai Santro Xing GL PLUS,September 2014,First Owner,NA,3rd Party,DL2C,Petrol,MANUAL,"₹ 150,000"
1576,"47,083 km",2017 Renault Kwid RXT,January 2013,First Owner,25/6/2021,Insurance Expired,DL3C,Petrol,MANUAL,"₹ 235,000"
1577,"56,970 km",2015 Honda Jazz 1.2 S AT,May 2014,Second Owner,NA,Comprehensive,DL8C,Diesel,MANUAL,"₹ 435,000"
1578,"19,679 km",2015 Maruti Swift Dzire VDI ABS,January 2018,First Owner,27/1/2021,Zero Depreciation,DL2C,Petrol,NA,"₹ 500,000"
1579,"16,323 km",2009 Hyundai i10 ERA 1.1 IRDE,January 2016,Second Owner,23/10/2021,Comprehensive,DL4C,Petrol,MANUAL,"₹ 130,000"
1580,"50,860 km",2018 Datsun Redi Go T (O),June 2012,First Owner,20/7/2021,Insurance Expired,DL14,Diesel,MANUAL,"₹ 240,000"
1581,"44,087 km",2017 Maruti Wagon R 1.0 VXI,January 2014,First Owner,NA,Comp,DL4C,Petrol,MANUAL,"₹ 305,000"
1582,"35,141 km",2019 Renault Kwid RXL,June 2016,First Owner,8/9/2021,Zero Depreciation,DL14,Petrol,MANUAL,"₹ 300,000"
